ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
PRTH,2026-09-21,7.8,33.79,18687300,399435,46.78,2263087.0,False,False,2026-11-05,45.0
BENF,2026-09-23,2.9,439.03,289788648,12646320,22.91,9607179.0,False,False,2026-08-14,40.0
VKTX,2026-09-22,40.85,35.67,41227600,2134500,19.31,68041521.0,False,False,2026-10-28,36.0
WBD,2026-09-21,30.8,10.79,234091400,18712270,12.51,529817539.0,False,False,2026-11-05,45.0
PFSA,2026-09-22,2.17,11.86,4049600,401970,10.07,1246368.0,False,,,
OPTX,2026-09-21,7.89,16.2,1318600,235475,5.6,1759385.0,False,,,
FSLY,2026-09-23,29.65,13.69,29906950,5822560,5.14,138531024.0,False,False,2026-11-04,42.0
ONON,2026-09-22,29.39,7.58,43259800,8531910,5.07,236615509.0,False,False,2026-08-11,42.0
DCOY,2026-09-23,3.85,24.19,26569175,5295345,5.02,16404601.0,False,False,2026-05-08,138.0
GRAL,2026-09-21,107.97,33.68,3521100,850875,4.14,67033265.0,False,False,2026-08-05,47.0
FIRY,2026-09-23,13.1,22.43,417029,114720,3.64,1144410.0,False,False,2026-08-13,41.0
EGHT,2026-09-23,2.29,22.46,4687765,1320350,3.55,2474601.0,False,False,2026-11-03,41.0
NCT,2026-09-22,6.0,5.26,2671300,766356,3.49,13419180.0,False,False,2026-10-29,37.0
RSKD,2026-09-22,7.01,10.39,5342700,1533420,3.48,9726419.0,False,False,2026-08-12,41.0
STRZ,2026-09-21,26.49,7.03,639900,187135,3.42,5006446.0,False,False,2026-08-07,45.0
ACMR,2026-09-23,80.67,10.86,2774148,896720,3.09,64274064.0,False,False,2026-11-04,42.0
CBRL,2026-09-23,47.52,5.91,2834808,921860,3.08,46714130.0,False,True,2026-09-23,0.0
