ticker,date,price,pct_change_1d,volume,avg_volume,volume_ratio,avg_dollar_volume,spac_like,near_earnings,nearest_earnings_date,days_from_earnings
ELMT,2026-09-14,21.5,32.8,14020400,337020,41.6,6038872.0,False,False,2026-08-13,32
BWIN,2026-09-14,32.0,7.93,22670700,963325,23.53,29411729.0,False,False,2026-07-30,46
FTFT,2026-09-14,8.04,179.17,126774400,8351997,15.18,19605810.0,False,False,2011-08-15,5509
QNC,2026-09-14,1.91,12.35,5810000,560805,10.36,1108378.0,False,False,2026-11-26,73
PTN,2026-09-14,13.36,13.22,696400,102860,6.77,1237348.0,False,False,2026-05-13,124
RUM,2026-09-14,8.0,11.58,25898100,4106190,6.31,35801726.0,False,False,2026-08-10,35
ALLT,2026-09-14,8.38,11.44,1396700,221995,6.29,1702198.0,False,False,2026-08-12,33
RUSHB,2026-09-14,52.6,5.45,325500,86945,3.74,4463671.0,False,False,2026-10-28,44
PMTS,2026-09-14,24.26,7.82,612700,166640,3.68,4271503.0,False,False,2026-08-06,39
ACRS,2026-09-14,5.64,6.02,5838400,1929085,3.03,11640001.0,False,False,2026-08-06,39
